geolocation_city,geolocation_state
taquaracu de minas,MG
taquaraçu de minas,MG
nova lima,MG
rio acima,MG
raposos,MG
sabara,MG
sabará,MG
ravena,MG
caete,MG
caeté,MG
rocas novas,MG
nova uniao,MG
nova união,MG
morro vermelho,MG
governador valadares,MG
timoteo,MG
coronel fabriciano,MG
ipatinga,MG
itanhomi,MG
pescador,MG
nova modica,MG
frei inocencio,MG
timóteo,MG
alpercata,MG
tarumirim,MG
ipaba,MG
engenheiro caldas,MG
vargem alegre,MG
santana do paraiso,MG
marlieria,MG
mesquita,MG
iapu,MG
dom cavati,MG
santana do paraíso,MG
antônio dias,MG
marilac,MG
acucena,MG
antonio dias,MG
capitão andrade,MG
mathias lobato,MG
naque,MG
periquito,MG
tumiritinga,MG
braunas,MG
belo oriente,MG
sao joao do oriente,MG
sobralia,MG
perpetuo socorro,MG
sao jose do acacio,MG
bugre,MG
nova módica,MG
braúnas,MG
capitao andrade,MG
fernandes tourinho,MG
naque-nanuque,MG
jaguaracu,MG
sobrália,MG
sao sebastiao de braunas,MG
perpétuo socorro,MG
frei inocêncio,MG
são joão do oriente,MG
goiabal,MG
joanesia,MG
baguari,MG
chonim,MG
joanésia,MG
sao sebastiao da barra,MG
açucena,MG
sao vicente do rio doce,MG
marliéria,MG
mantena,MG
itueta,MG
aimores,MG
conselheiro pena,MG
mendes pimentel,MG
resplendor,MG
itabirinha,MG
sao joao do manteninha,MG
goiabeira,MG
divino das laranjeiras,MG
floresta,MG
santa rita do itueto,MG
sao sebastiao da vala,MG
central de minas,MG
itabirinha de mantena,MG
cuparaque,MG
sao geraldo do baixio,MG
galileia,MG
alvarenga,MG
aimorés,MG
central de santa helena,MG
quatituba,MG
limeira de mantena,MG
sapucaia do norte,MG
conceicao do capim,MG
sao felix de minas,MG
boa união de itabirinha,MG
ferruginha,MG
são josé do itueto,MG
campo alegre de minas,MG
nova belem,MG
são félix de minas,MG
barra do cuiete,MG
são geraldo do baixio,MG
calixto,MG
são joão do manteninha,MG
penha do capim,MG
sao jose do itueto,MG
barra do ariranha,MG
boa uniao de itabirinha,MG
são sebastião da vala,MG
conceição do capim,MG
independencia,MG
aldeia,MG
galiléia,MG
abre campo,MG
ubaporanga,MG
matipo,MG
caratinga,MG
inhapim,MG
urucania,MG
sao pedro dos ferros,MG
santa rita de minas,MG
raul soares,MG
rio casca,MG
piedade de caratinga,MG
imbé de minas,MG
sericita,MG
são domingos das dores,MG
entre folhas,MG
sao domingos das dores,MG
matipó,MG
bom jesus do galho,MG
pedra bonita,MG
são pedro dos ferros,MG
jequeri,MG
aguas ferreas,MG
padre fialho,MG
corrego novo,MG
santa bárbara do leste,MG
santa barbara do leste,MG
sao sebastiao do anta,MG
piedade de ponte nova,MG
são sebastião do anta,MG
santo antônio do grama,MG
sao vicente do grama,MG
vermelho novo,MG
pingo-d'agua,MG
urucânia,MG
santo antonio do grama,MG
imbe de minas,MG
sapucaia,MG
santa cruz do escalvado,MG
bicuiba,MG
pingo-d agua,MG
santa efigenia,MG
sao joao do jacutinga,MG
vermelho velho,MG
santa luzia de caratinga,MG
granada,MG
santana do tabuleiro,MG
córrego novo,MG
sao vicente da estrela,MG
santo antonio do manhuacu,MG
grota,MG
moeda,MG
ponte nova,MG
mariana,MG
itabirito,MG
ouro preto,MG
brumadinho,MG
entre rios de minas,MG
piedade dos gerais,MG
amarantina,MG
antonio pereira,MG
cachoeira do campo,MG
desterro de entre rios,MG
itaguara,MG
barra longa,MG
antônio pereira,MG
oratorios,MG
rio doce,MG
cachoeira do brumado,MG
sao bras do suacui,MG
amparo da serra,MG
acaiaca,MG
dom silverio,MG
bonfim,MG
belo vale,MG
crucilandia,MG
crucilândia,MG
sem peixe,MG
guaraciaba,MG
santa rita durao,MG
lavras novas,MG
jeceaba,MG
santo antonio do leite,MG
passagem de mariana,MG
monsenhor horta,MG
claudio manuel,MG
vau-acu,MG
bandeirantes,MG
diogo de vasconcelos,MG
dom silvério,MG
rio manso,MG
santa rita de ouro preto,MG
oratórios,MG
santa rita durão,MG
furquim,MG
são brás do suaçuí,MG
santo antônio do leite,MG
sao bartolomeu,MG
rodrigo silva,MG
santana do paraopeba,MG
piedade do paraopeba,MG
rosario do pontal,MG
oliveira,MG
divinopolis,MG
formiga,MG
santo antonio do monte,MG
luz,MG
divinópolis,MG
carmopolis de minas,MG
nova serrana,MG
arcos,MG
lagoa da prata,MG
carmópolis de minas,MG
lamounier,MG
santo antonio dos campos,MG
perdigao,MG
pimenta,MG
são gonçalo do pará,MG
pains,MG
monsenhor joao alexandre,MG
itapecerica,MG
morro do ferro,MG
carmo da mata,MG
carmo do cajuru,MG
camacho,MG
piracema,MG
sao francisco de paula,MG
claudio,MG
sao goncalo do para,MG
sao sebastiao do oeste,MG
santo antônio dos campos,MG
são francisco de paula,MG
esteios,MG
cláudio,MG
perdigão,MG
neolândia,MG
santo antônio do monte,MG
pedra do indaia,MG
pedra do indaiá,MG
passa tempo,MG
corrego fundo,MG
são sebastião do oeste,MG
neolandia,MG
japaraíba,MG
sao jose dos salgados,MG
japaraiba,MG
boa vista de minas,MG
martins guimaraes,MG
para de minas,MG
itauna,MG
pequi,MG
juatuba,MG
abaete,MG
maravilhas,MG
bom despacho,MG
martinho campos,MG
papagaios,MG
morada nova de minas,MG
pará de minas,MG
moema,MG
estrela do indaia,MG
mateus leme,MG
abaeté,MG
itaúna,MG
pitangui,MG
araujos,MG
pompeu,MG
conceicao do para,MG
florestal,MG
ibitira,MG
itatiaiucu,MG
azurita,MG
quartel geral,MG
igaratinga,MG
paineiras,MG
dores do indaia,MG
onca de pitangui,MG
pompéu,MG
dores do indaiá,MG
araújos,MG
sao jose da varginha,MG
leandro ferreira,MG
biquinhas,MG
itatiaiuçu,MG
engenho do ribeiro,MG
cedro do abaete,MG
são josé da varginha,MG
serra da saudade,MG
estrela do indaiá,MG
alberto isaacson,MG
santa terezinha de minas,MG
conceição do pará,MG
pocoes de paineiras,MG
serra azul,MG
antunes,MG
antunes (igaratinga),MG
torneiros,MG
sete lagoas,MG
paraopeba,MG
matozinhos,MG
curvelo,MG
capim branco,MG
prudente de morais,MG
esmeraldas,MG
baldim,MG
santana de pirapama,MG
funilandia,MG
caetanópolis,MG
caetanopolis,MG
felixlandia,MG
inhauma,MG
fortuna de minas,MG
são vicente,MG
melo viana,MG
jequitiba,MG
cachoeira da prata,MG
cordisburgo,MG
mocambeiro,MG
aracai,MG
felixlândia,MG
santa rita do cedro,MG
funilândia,MG
morro da garca,MG
araçaí,MG
sao vicente,MG
inhaúma,MG
anguereta,MG
jequitibá,MG
inimutaba,MG
conceicao do mato dentro,MG
carmesia,MG
congonhas do norte,MG
sao sebastiao do rio preto,MG
ferros,MG
esmeraldas de ferros,MG
dom joaquim,MG
santana do riacho,MG
santo antonio do norte,MG
conceição do mato dentro,MG
jaboticatubas,MG
itambe do mato dentro,MG
santo antonio do rio abaixo,MG
dores de guanhães,MG
morro do pilar,MG
passabém,MG
santo antônio do rio abaixo,MG
dores de guanhaes,MG
gororos,MG
itambé do mato dentro,MG
carmésia,MG
gororós,MG
passabem,MG
joao monlevade,MG
nova era,MG
barao de cocais,MG
santa barbara,MG
santa maria de itabira,MG
itabira,MG
bela vista de minas,MG
sao goncalo do rio abaixo,MG
rio piracicaba,MG
alvinópolis,MG
catas altas,MG
joão monlevade,MG
alvinopolis,MG
barão de cocais,MG
sao domingos do prata,MG
dionísio,MG
dionisio,MG
santa bárbara,MG
cocais,MG
sao jose do goiabal,MG
bom jesus do amparo,MG
são domingos do prata,MG
ipoema,MG
são gonçalo do rio abaixo,MG
são josé do goiabal,MG
fonseca,MG
senhora do carmo,MG
barra feliz,MG
juiz de fora,MG
juíz de fora,MG
lima duarte,MG
ewbank da camara,MG
santa barbara do monte verde,MG
matias barbosa,MG
santa rita de jacutinga,MG
guarani,MG
belmiro braga,MG
goiana,MG
rio pomba,MG
pirauba,MG
chacara,MG
paiva,MG
chácara,MG
rio preto,MG
merces,MG
tabuleiro,MG
rio novo,MG
coronel pacheco,MG
simao pereira,MG
conceicao da ibitipoca,MG
silveirania,MG
piau,MG
goianá,MG
mercês,MG
santana do garambeu,MG
sarandira,MG
olaria,MG
piraúba,MG
rosario de minas,MG
pedro teixeira,MG
barbacena,MG
aracitaba,MG
dores de campos,MG
santos dumont,MG
carandai,MG
mantiqueira do palmital,MG
cipotânea,MG
barroso,MG
carandaí,MG
alto rio doce,MG
senhora dos remedios,MG
correia de almeida,MG
capela nova,MG
santa rita do ibitipoca,MG
santa barbara do tugurio,MG
antônio carlos,MG
senhora das dores,MG
alfredo vasconcelos,MG
piedade do rio grande,MG
desterro do melo,MG
bias fortes,MG
ressaquinha,MG
antonio carlos,MG
cipotanea,MG
senhora dos remédios,MG
santa bárbara do tugúrio,MG
ibertioga,MG
sao joao da serra,MG
pinheiro grosso,MG
costas da mantiqueira,MG
abreus,MG
oliveira fortes,MG
vitorinos,MG
dores do paraibuna,MG
vitorinos - alto rio doce,MG
são sebastião dos torres,MG
sao joao del rei,MG
lagoa dourada,MG
tiradentes,MG
resende costa,MG
sao tiago,MG
são joão del rei,MG
conceicao da barra de minas,MG
coronel xavier chaves,MG
santa cruz de minas,MG
itutinga,MG
nazareno,MG
são sebastião da vitória,MG
prados,MG
ritapolis,MG
são tiago,MG
merces de agua limpa,MG
conceição da barra de minas,MG
rio das mortes,MG
sao sebastiao da vitoria,MG
mercês de água limpa,MG
ritápolis,MG
conselheiro lafaiete,MG
ouro branco,MG
congonhas,MG
casa grande,MG
lamim,MG
piranga,MG
senhora de oliveira,MG
rio espera,MG
cristiano otoni,MG
santana dos montes,MG
presidente bernardes,MG
queluzito,MG
itaverava,MG
caranaiba,MG
alto maranhao,MG
catas altas da noruega,MG
caranaíba,MG
pinheiros altos,MG
santo antonio do pirapetinga,MG
rio melo,MG
vicosa,MG
visconde do rio branco,MG
cajuri,MG
uba,MG
ervalia,MG
coimbra,MG
ubá,MG
sao geraldo,MG
são miguel do anta,MG
porto firme,MG
tocantins,MG
guidoval,MG
sao miguel do anta,MG
divinésia,MG
teixeiras,MG
viçosa,MG
divinesia,MG
ervália,MG
senador firmino,MG
são geraldo,MG
rodeiro,MG
guiricema,MG
dores do turvo,MG
araponga,MG
paula candido,MG
brás pires,MG
cachoeira de santa cruz,MG
canaa,MG
bras pires,MG
canaã,MG
pedra do anta,MG
descoberto,MG
alem paraiba,MG
sao domingos,MG
sao joao nepomuceno,MG
bicas,MG
além paraíba,MG
guarara,MG
mar de espanha,MG
pequeri,MG
angustura,MG
santo antônio do aventureiro,MG
rochedo de minas,MG
maripa de minas,MG
senador cortes,MG
santo antonio do aventureiro,MG
são joão nepomuceno,MG
santana do deserto,MG
guarará,MG
chiador,MG
leopoldina,MG
mirai,MG
cataguases,MG
pirapetinga,MG
sao sebastiao da vargem alegre,MG
recreio,MG
santana de cataguases,MG
cataguarino,MG
astolfo dutra,MG
palma,MG
volta grande,MG
estrela dalva,MG
itamarati de minas,MG
laranjal,MG
argirita,MG
itapirucu,MG
dona euzebia,MG
miraí,MG
vista alegre,MG
piacatuba,MG
sereno,MG
ribeiro junqueira,MG
dona euzébia,MG
cisneiros,MG
sao manoel do guaiacu,MG
tebas,MG
eugenopolis,MG
carangola,MG
muriaé,MG
divino,MG
muriae,MG
rosario da limeira,MG
fervedouro,MG
vieiras,MG
orizania,MG
espera feliz,MG
tombos,MG
faria lemos,MG
miradouro,MG
caparao,MG
sao francisco do gloria,MG
caiana,MG
silveira carvalho,MG
barao de monte alto,MG
vermelho,MG
patrocinio do muriae,MG
antonio prado de minas,MG
eugenópolis,MG
antônio prado de minas,MG
pedra dourada,MG
macuco,MG
rosário da limeira,MG
patrocínio do muriaé,MG
caparaó,MG
cachoeira alegre,MG
orizânia,MG
alvorada,MG
catune,MG
barão de monte alto,MG
ponte alta de minas,MG
manhuacu,MG
santa margarida,MG
manhumirim,MG
taparuba,MG
simonesia,MG
ipanema,MG
martins soares,MG
são joão do manhuaçu,MG
alto jequitiba,MG
caputira,MG
mutum,MG
manhuaçu,MG
alto caparao,MG
lajinha,MG
santana do manhuacu,MG
simonésia,MG
sao jose do mantimento,MG
sao pedro do avai,MG
sao joao do manhuacu,MG
realeza,MG
pocrane,MG
durande,MG
luisburgo,MG
alegria,MG
alto jequitibá,MG
ribeirao de sao domingos,MG
chale,MG
reduto,MG
santana do manhuaçu,MG
durandé,MG
sao sebastiao do sacramento,MG
são sebastião do sacramento,MG
conceicao de ipanema,MG
ribeirão de são domingos,MG
chalé,MG
são josé do mantimento,MG
realeza (manhuacu),MG
roseiral,MG
alto caparaó,MG
são pedro do avaí,MG
varginha,MG
boa esperanca,MG
tres pontas,MG
alfenas,MG
carmo do rio claro,MG
campos gerais,MG
boa esperança,MG
areado,MG
paraguacu,MG
serrania,MG
conceicao da aparecida,MG
eloi mendes,MG
campo do meio,MG
três pontas,MG
divino espirito santo,MG
monte belo,MG
fama,MG
santana da vargem,MG
alterosa,MG
guape,MG
divisa nova,MG
ilicinea,MG
corrego do ouro,MG
divino espírito santo,MG
conceição da aparecida,MG
guapé,MG
elói mendes,MG
ilicínea,MG
paraguaçu,MG
córrego do ouro,MG
lavras,MG
campo belo,MG
perdoes,MG
carmo da cachoeira,MG
ingai,MG
santo antonio do amparo,MG
bom sucesso,MG
itumirim,MG
nepomuceno,MG
coqueiral,MG
santo antônio do amparo,MG
candeias,MG
perdões,MG
carrancas,MG
cristais,MG
santana do jacare,MG
santana do jacaré,MG
macuco de minas,MG
aguanil,MG
ribeirao vermelho,MG
cana verde,MG
luminarias,MG
ijaci,MG
ribeirão vermelho,MG
lavras mg,MG
ibituruna,MG
luminárias,MG
ingaí,MG
bom jardim de minas,MG
liberdade,MG
sao vicente de minas,MG
andrelandia,MG
passa vinte,MG
madre de deus de minas,MG
são vicente de minas,MG
arantina,MG
andrelândia,MG
bocaina de minas,MG
tabuao,MG
são lourenço,MG
sao lourenco,MG
lambari,MG
santana do capivari,MG
itanhandu,MG
heliodora,MG
sao goncalo do sapucai,MG
caxambu,MG
tres coracoes,MG
cambuquira,MG
passa quatro,MG
baependi,MG
campanha,MG
alagoa,MG
jesuania,MG
cruzilia,MG
dom vicoso,MG
conceição do rio verde,MG
três corações,MG
sao thome das letras,MG
pouso alto,MG
cristina,MG
minduri,MG
monsenhor paulo,MG
virginia,MG
carmo de minas,MG
serranos,MG
itamonte,MG
soledade de minas,MG
conceicao do rio verde,MG
são thomé das letras,MG
cordislandia,MG
olimpio noronha,MG
aiuruoca,MG
são bento abade,MG
carvalhos,MG
turvolandia,MG
cruzília,MG
sao sebastiao do rio verde,MG
sao bento abade,MG
são sebastião do rio verde,MG
seritinga,MG
jesuânia,MG
são gonçalo do sapucaí,MG
virgínia,MG
turvolândia,MG
olímpio noronha,MG
pouso alegre,MG
maria da fe,MG
itajuba,MG
bueno brandao,MG
itajubá,MG
brasópolis,MG
conceicao dos ouros,MG
conceição dos ouros,MG
cachoeira de minas,MG
monte siao,MG
santa rita do sapucai,MG
brasopolis,MG
brazopolis,MG
ipuiuna,MG
sao sebastiao da bela vista,MG
ouro fino,MG
santa rita do sapucaí,MG
pedralva,MG
borda da mata,MG
são sebastião da bela vista,MG
inconfidentes,MG
jacutinga,MG
careacu,MG
natercia,MG
sao jose do alegre,MG
tocos do moji,MG
estiva,MG
luminosa,MG
piranguinho,MG
senador jose bento,MG
delfim moreira,MG
monte sião,MG
espirito santo do dourado,MG
conceicao das pedras,MG
silvianopolis,MG
são josé do alegre,MG
senador josé bento,MG
congonhal,MG
maria da fé,MG
wenceslau braz,MG
bueno brandão,MG
espírito santo do dourado,MG
pirangucu,MG
marmelopolis,MG
natércia,MG
albertina,MG
brazópolis,MG
careaçu,MG
sao joao da mata,MG
silvianópolis,MG
crisolia,MG
ipuiúna,MG
conceição das pedras,MG
são joão da mata,MG
itaim,MG
marmelópolis,MG
cambui,MG
monte verde,MG
sapucai-mirim,MG
extrema,MG
cambuí,MG
itapeva,MG
camanducaia,MG
senador amaral,MG
paraisopolis,MG
munhoz,MG
gonçalves,MG
bom repouso,MG
toledo,MG
paraisópolis,MG
goncalves,MG
consolacao,MG
sapucaí-mirim,MG
corrego do bom jesus,MG
córrego do bom jesus,MG
sao mateus de minas,MG
pocos de caldas,MG
poços de caldas,MG
campestre,MG
carvalhopolis,MG
machado,MG
andradas,MG
botelhos,MG
caldas,MG
poco fundo,MG
palmeiral,MG
ibitiúra de minas,MG
poço fundo,MG
bandeira do sul,MG
santa rita de caldas,MG
ibitiura de minas,MG
são gonçalo de botelhos,MG
carvalhópolis,MG
sao goncalo de botelhos,MG
santana de caldas,MG
guaxupé,MG
guaxupe,MG
muzambinho,MG
cabo verde,MG
sao pedro da uniao,MG
arceburgo,MG
guaranesia,MG
juruaia,MG
nova resende,MG
guaranésia,MG
santa cruz do prata,MG
petunia,MG
são pedro da união,MG
ibiraci,MG
monte santo de minas,MG
itau de minas,MG
cássia,MG
capetinga,MG
sao sebastiao do paraiso,MG
passos,MG
bom jesus da penha,MG
piumhii,MG
capitolio,MG
são tomás de aquino,MG
alpinopolis,MG
sao joao batista do gloria,MG
cassia,MG
piumhi,MG
pratapolis,MG
itaú de minas,MG
fortaleza de minas,MG
são sebastião do paraíso,MG
sao roque de minas,MG
doresopolis,MG
delfinopolis,MG
delfinópolis,MG
são joão batista do glória,MG
capitólio,MG
itamogi,MG
sao tomas de aquino,MG
vargem bonita,MG
jacui,MG
são roque de minas,MG
sao jose da barra,MG
claraval,MG
pratápolis,MG
guardinha,MG
alpinópolis,MG
jacuí,MG
são josé da barra,MG
doresópolis,MG
são josé do barreiro,MG
uberaba,MG
araxa,MG
araxá,MG
sacramento,MG
perdizes,MG
prata,MG
conceicao das alagoas,MG
santa juliana,MG
conceição das alagoas,MG
conquista,MG
delta,MG
tapira,MG
veríssimo,MG
campo florido,MG
agua comprida,MG
pedrinopolis,MG
nova ponte,MG
ponte alta,MG
verissimo,MG
água comprida,MG
pedrinópolis,MG
guaxima,MG
campina verde,MG
iturama,MG
frutal,MG
planura,MG
fronteira,MG
limeira do oeste,MG
sao sebastiao do pontal,MG
são francisco de sales,MG
itapagipe,MG
uniao de minas,MG
sao francisco de sales,MG
carneirinho,MG
são sebastião do pontal,MG
pirajuba,MG
alexandrita,MG
comendador gomes,MG
aparecida de minas,MG
honorópolis,MG
limeira do oeste mg,MG
limeira d oeste,MG
união de minas,MG
estrela da barra,MG
santa vitoria,MG
ituiutaba,MG
capinopolis,MG
capinópolis,MG
ipiaçu,MG
canápolis,MG
canapolis,MG
santa vitória,MG
cachoeira dourada,MG
ipiacu,MG
centralina,MG
gurinhata,MG
gurinhatã,MG
chaveslandia,MG
perdilandia,MG
uberlandia,MG
araguari,MG
uberlândia,MG
arapora,MG
monte alegre de minas,MG
tupaciguara,MG
araporã,MG
indianópolis,MG
indianopolis,MG
cascalho rico,MG
amanhece,MG
grupiara,MG
tapuirama,MG
martinesia,MG
monte carmelo,MG
abadia dos dourados,MG
estrela do sul,MG
coromandel,MG
guarda-mor,MG
irai de minas,MG
romaria,MG
douradoquara,MG
iraí de minas,MG
paracatu,MG
unai,MG
urucuia,MG
unaí,MG
bonfinopolis de minas,MG
buritis,MG
dom bosco,MG
cabeceira grande,MG
riachinho,MG
arinos,MG
formoso,MG
uruana de minas,MG
natalandia,MG
chapada gaucha,MG
chapada gaúcha,MG
serra bonita,MG
bonfinópolis de minas,MG
natalândia,MG
luizlandia do oeste,MG
patos de minas,MG
presidente olegario,MG
lagoa grande,MG
joao pinheiro,MG
vazante,MG
patrocinio,MG
sao goncalo do abaete,MG
lagoa formosa,MG
guimarânia,MG
brasilandia de minas,MG
varjão de minas,MG
serra do salitre,MG
guimarania,MG
patrocínio,MG
lagamar,MG
pilar,MG
cruzeiro da fortaleza,MG
joão pinheiro,MG
presidente olegário,MG
varjao de minas,MG
são gonçalo do abaeté,MG
sao joao da serra negra,MG
brasilândia de minas,MG
canabrava,MG
silvano,MG
luizlândia do oeste,MG
santana de patos,MG
brejo bonito,MG
olhos d'agua do oeste,MG
veredas,MG
sao gotardo,MG
carmo do paranaiba,MG
são gotardo,MG
tiros,MG
rio paranaiba,MG
carmo do paranaíba,MG
quintinos,MG
matutina,MG
arapua,MG
santa rosa da serra,MG
rio paranaíba,MG
guarda dos ferreiros,MG
arapuá,MG
ibia,MG
pratinha,MG
bambui,MG
corrego danta,MG
iguatama,MG
campos altos,MG
ibiá,MG
bambuí,MG
medeiros,MG
tapirai,MG
córrego danta,MG
senador modestino goncalves,MG
diamantina,MG
serro,MG
sao goncalo do rio preto,MG
datas,MG
rio vermelho,MG
milho verde,MG
gouveia,MG
alvorada de minas,MG
senador mourao,MG
felício dos santos,MG
senador modestino gonçalves,MG
gouvea,MG
serra azul de minas,MG
couto de magalhaes de minas,MG
felicio dos santos,MG
santo antonio do itambe,MG
presidente kubitschek,MG
sao joao da chapada,MG
sao goncalo do rio das pedras,MG
desembargador otoni,MG
santo antônio do itambé,MG
couto de magalhães de minas,MG
pedra menina,MG
varzea da palma,MG
pirapora,MG
lassance,MG
tres marias,MG
corinto,MG
buritizeiro,MG
três marias,MG
santo hipolito,MG
buenópolis,MG
buenopolis,MG
sao romao,MG
várzea da palma,MG
augusto de lima,MG
joaquim felicio,MG
santa fe de minas,MG
monjolos,MG
guaicui,MG
são romão,MG
andrequice,MG
joaquim felício,MG
presidente juscelino,MG
santo hipólito,MG
santa fé de minas,MG
sao joao do pacui,MG
jequitai,MG
sao francisco,MG
são francisco,MG
brasilia de minas,MG
campo azul,MG
olhos-d agua,MG
japonvar,MG
brasília de minas,MG
bocaiuva,MG
ponto chique,MG
icaraí de minas,MG
icarai de minas,MG
bocaiúva,MG
alvacao,MG
ibiai,MG
francisco dumont,MG
olhos d'agua,MG
patis,MG
ibiaí,MG
ubai,MG
lagoa dos patos,MG
sao joao da lagoa,MG
coracao de jesus,MG
claro dos pocoes,MG
luislândia,MG
mirabela,MG
engenheiro navarro,MG
guaraciama,MG
olhos d'água,MG
luislandia,MG
claro dos poções,MG
pintopolis,MG
coração de jesus,MG
ubaí,MG
luiz pires de minas,MG
pintópolis,MG
bentópolis de minas,MG
jequitaí,MG
montes claros,MG
janauba,MG
januaria,MG
são joão da ponte,MG
janaúba,MG
lontra,MG
sao joao da ponte,MG
manga,MG
varzelandia,MG
sao joao das missoes,MG
itacarambi,MG
januária,MG
bonito de minas,MG
montalvania,MG
varzelândia,MG
cacarema,MG
pedras de maria da cruz,MG
ibiracatu,MG
capitao eneas,MG
miravania,MG
juvenilia,MG
matias cardoso,MG
verdelandia,MG
sao sebastiao dos pocoes,MG
montalvânia,MG
são joão das missões,MG
nova esperanca,MG
capitão enéas,MG
conego marinho,MG
verdelândia,MG
vila nova de minas,MG
juvenília,MG
caçarema,MG
rio pardo de minas,MG
taiobeiras,MG
sao joao do paraiso,MG
mato verde,MG
serranopolis de minas,MG
jaiba,MG
porteirinha,MG
berizal,MG
vargem grande do rio pardo,MG
salinas,MG
itacambira,MG
monte azul,MG
mamonas,MG
espinosa,MG
riacho dos machados,MG
catuti,MG
jaíba,MG
grão mogol,MG
botumirim,MG
francisco sa,MG
fruta de leite,MG
padre carvalho,MG
novorizonte,MG
nova porteirinha,MG
santa cruz de salinas,MG
rubelita,MG
cristalia,MG
grao mogol,MG
montezuma,MG
curral de dentro,MG
indaiabira,MG
juramento,MG
francisco sá,MG
ninheira,MG
gameleiras,MG
pai pedro,MG
glaucilandia,MG
cristália,MG
josenopolis,MG
adao colares,MG
santo antonio do retiro,MG
são joão do paraíso,MG
catuni,MG
santo antônio do retiro,MG
tocandira,MG
barreiro branco,MG
itamarandiba,MG
capelinha,MG
virgem da lapa,MG
aracuai,MG
minas novas,MG
malacacheta,MG
turmalina,MG
itaobim,MG
coronel murta,MG
chapada do norte,MG
jose goncalves de minas,MG
francisco badaro,MG
medina,MG
comercinho,MG
angelândia,MG
angelandia,MG
carbonita,MG
jenipapo de minas,MG
ponto dos volantes,MG
setubinha,MG
franciscopolis,MG
veredinha,MG
berilo,MG
araçuaí,MG
aricanduva,MG
leme do prado,MG
itinga,MG
franciscópolis,MG
engenheiro schnoor,MG
francisco badaró,MG
tuparece,MG
agua branca de minas,MG
cacaratiba,MG
mendonca,MG
josé gonçalves de minas,MG
santa maria do suacui,MG
pecanha,MG
guanhaes,MG
sardoa,MG
sao jose do jacuri,MG
santa efigenia de minas,MG
gonzaga,MG
sao joao evangelista,MG
sabinopolis,MG
divinolandia de minas,MG
guanhães,MG
sao pedro do suacui,MG
paulistas,MG
materlandia,MG
jose raydan,MG
virginopolis,MG
coroaci,MG
coluna,MG
peçanha,MG
virgolandia,MG
divinolândia de minas,MG
são josé da safira,MG
agua boa,MG
são joão evangelista,MG
santa maria do suaçuí,MG
senhora do porto,MG
água boa,MG
virgolândia,MG
cantagalo,MG
virginópolis,MG
correntinho,MG
frei lagonegro,MG
sao sebastiao do maranhao,MG
sao geraldo da piedade,MG
nacip raydan,MG
materlândia,MG
sapucaia de guanhaes,MG
sardoá,MG
sabinópolis,MG
santa efigênia de minas,MG
são josé do jacuri,MG
sao geraldo do baguari,MG
sao jose da safira,MG
josé raydan,MG
são sebastião do maranhão,MG
são geraldo da piedade,MG
nelson de sena,MG
conceição de tronqueiras,MG
são pedro do suaçuí,MG
teofilo otoni,MG
aguas formosas,MG
pote,MG
joaima,MG
nanuque,MG
bertopolis,MG
novo cruzeiro,MG
padre paraiso,MG
teófilo otoni,MG
itambacuri,MG
itaipe,MG
vila pereira,MG
monte formoso,MG
carai,MG
frei gaspar,MG
fronteira dos vales,MG
machacalis,MG
ladainha,MG
novo oriente de minas,MG
serra dos aimores,MG
águas formosas,MG
ouro verde de minas,MG
campanario,MG
carlos chagas,MG
felisburgo,MG
santa helena de minas,MG
pavao,MG
umburatiba,MG
ataleia,MG
catuji,MG
queixada,MG
crisolita,MG
caraí,MG
joaíma,MG
jampruca,MG
serra dos aimorés,MG
nova santa luzia,MG
padre paraíso,MG
ponto do marambaia,MG
concordia de mucuri,MG
sao jose do divino,MG
campanário,MG
ataléia,MG
pavão,MG
bertópolis,MG
itaipé,MG
presidente pena,MG
poté,MG
pedro versiani,MG
marambainha,MG
mucuri,MG
epaminondas otoni,MG
topazio,MG
são josé do divino,MG
jequitinhonha,MG
pedra azul,MG
almenara,MG
mata verde,MG
jordania,MG
aguas vermelhas,MG
salto da divisa,MG
jordânia,MG
divisopolis,MG
santo antonio do jacinto,MG
jacinto,MG
rubim,MG
cachoeira de pajeú,MG
bandeira,MG
palmopolis,MG
águas vermelhas,MG
cachoeira de pajeu,MG
rio do prado,MG
santa maria do salto,MG
avaí do jacinto,MG
divisa alegre,MG
santo antônio do jacinto,MG
estrela de jordânia,MG
itapiru,MG
dois de abril,MG
palmópolis,MG
divisópolis,MG
estrela de jordania,MG
salvador,BA
salvador ,BA
lauro de freitas,BA
madre de deus,BA
abrantes,BA
dias d'avila,BA
camacari,BA
camaçari,BA
dias d'ávila,BA
monte gordo,BA
catu de abrantes,BA
dias davila,BA
dias d avila,BA
barra do jacuipe,BA
arembepe,BA
dias dávila,BA
monte gordo (camacari) - distrito,BA
simões filho,BA
simoes filho,BA
candeias,BA
sao sebastiao do passe,BA
são sebastião do passe,BA
passé,BA
menino jesus,BA
são sebastião do passé,BA
passagem dos teixeiras,BA
sao francisco do conde,BA
são francisco do conde,BA
feira de santana,BA
santo estevao,BA
santa barbara,BA
tanquinho,BA
santo estevão,BA
antonio cardoso,BA
antônio cardoso,BA
santo estêvão,BA
conceicao do jacuipe,BA
santo amaro,BA
amelia rodrigues,BA
coracao de maria,BA
saubara,BA
amélia rodrigues,BA
irara,BA
